"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"PACKAGE";"PRICE";"PURCHASE-URL";
"3";"0.1 uF";"CAPACITOR-(INCH)-0603";"0603";"C1, C2, C5";"Basic SMD ceramic capacitors";"";"";"";"";"";"";"";
"1";"1 M";"RESISTOR-(INCH)-0603";"0603";"R1";"Basic SMD Resistors";"";"";"";"";"";"";"";
"2";"10 k";"RESISTOR-(INCH)-0603";"0603";"R4, R5";"Basic SMD Resistors";"";"";"";"";"";"";"";
"1";"10 nF";"CAPACITOR-(INCH)-0603";"0603";"C4";"Basic SMD ceramic capacitors";"";"";"";"";"";"";"";
"1";"2.2 nF";"CAPACITOR-(INCH)-0603";"0603";"C3";"Basic SMD ceramic capacitors";"";"";"";"";"";"";"";
"1";"ADAPTER_2X3_THM";"ADAPTER_2X3_THM";"RASPBERRYPI_2X3";"RPI1";"";"";"";"";"";"";"";"";
"6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"FUD1, FUD2, FUD3, FUD4, FUD5, FUD6";"";"";"";"";"";"";"";"";
"2";"MOTOR";"MOTOR";"MOTOR";"M1, M2";"";"";"";"";"";"";"";"";
"4";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"MGT1, MGT2, MGT3, MGT4";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";"";"";
"1";"MPU-6050";"MPU-6050";"QFN50P400X400X95-24N";"U1";"MPU-6050 Six-Axis (Gyro + Accelerometer) MEMS MotionTrackingâ„¢ Devices Check prices";"In Stock";" MPU-6050 series Accelerometer, Gyroscope, 3 Axis Sensor Evaluation Board ";"TDK InvenSense";"MPU-6050";"QFN-24 InvenSense";"None";"https://pricing.snapeda.com/search/part/MPU-6050/?ref=eda";
"1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"U2";"";"";"";"";"";"";"";"";
